,Mean,Std
IoU,0.7686540846279784,0.21441214697411387
Dice,0.8474158167598032,0.18248144428771168
Accuracy,0.9126236178468338,0.14449707209254328
Sensitivity,0.8623405029567414,0.2285095439533221
Specificity,0.9639419272212759,0.06624148661751615
