,Mean,Std
IoU,0.34611059897337487,0.3114047132785746
Dice,0.4382553026640996,0.3324485756410494
Accuracy,0.5088177746495087,0.282733176050276
Sensitivity,0.7423222763225249,0.3489073118782134
Specificity,0.45274469016767876,0.3310889200904658
