Image_ID,IoU,Dice,Accuracy,Sensitivity,Specificity
ISIC_0012169.jpg,0.14994486175858954,0.26078617635506735,0.27887516622339964,0.7517084752355077,0.1825663011928566
ISIC_0012236.jpg,0.8875263080158938,0.9404121195522118,0.9960090807374562,0.8909785497010555,0.9998574772453721
ISIC_0012292.jpg,0.009789435112497614,0.019389062258127115,0.12812799202127448,0.9999999999980715,0.1205475386664791
ISIC_0012302.jpg,0.039635216413929975,0.07624831438597447,0.04032579787233976,0.9999999999995803,0.0007487374790704726
ISIC_0012337.jpg,0.03407022106631886,0.06589537223339846,0.4733972739361624,0.999999999999105,0.46343087707732805
ISIC_0012373.jpg,0.9375096724670035,0.967747088739212,0.9900806765417913,0.9387833430275021,0.9997440728537881
ISIC_0012405.jpg,0.22825026481916144,0.3716673569824425,0.7392626329787112,0.9999999999997844,0.7174758203101161
ISIC_0012418.jpg,0.02784877360851881,0.05418846492514412,0.046212876540750916,0.9999999999997004,0.01942079982300858
ISIC_0012456.jpg,0.2092911939592268,0.346138622367713,0.8953026082718356,0.9994743137280904,0.8923318998192472
ISIC_0012472.jpg,0.0,0.0,0.5837415854802485,0.0,0.651353767952742
ISIC_0012479.jpg,0.03436323549175745,0.06644326540747646,0.046286163765092696,0.9999999999997587,0.012780992043061646
ISIC_0012558.jpg,0.08385552337406357,0.15473561109513873,0.23258082071937147,0.9999999999981898,0.17460280555967256
ISIC_0012559.jpg,0.06544449294338982,0.12284918337245951,0.3465983072916226,0.999999999997221,0.31526768010570816
ISIC_0012560.jpg,0.02971653619206451,0.05771789642605434,0.28322855631506816,0.9999999999942075,0.267140598672817
ISIC_0012563.jpg,0.8780667918389992,0.9350751481838385,0.9210561116535287,0.8873170112093758,0.9812156729513543
ISIC_0012564.jpg,0.013407653932796106,0.026460534180424163,0.26269022623694577,0.0818922514132837,0.28789582270847514
ISIC_0012566.jpg,0.04208608400535666,0.08077275889453356,0.24056498209632357,0.999999999996189,0.21435111129817017
ISIC_0012572.jpg,0.38363487515343697,0.5545319535414198,0.5213254292805327,0.7330942927493944,0.37633696855960286
ISIC_0012591.jpg,0.7806393464623848,0.8768079263364469,0.9563636779783941,0.7806393464623848,0.9999999999998412
ISIC_0012592.jpg,0.1715896418864942,0.29291764923800534,0.36899693806961453,0.9999999999990271,0.27412472847745917
ISIC_0012596.jpg,0.7530692043150815,0.8591437262846714,0.8666992187498898,0.7556250945392254,0.996047648405574
ISIC_0012599.jpg,0.7371509510317378,0.8486895748396824,0.8942871093748863,0.8100055586434095,0.9429433284126214
ISIC_0012603.jpg,0.8278121785981573,0.9057956701361393,0.9278322855630331,0.8278121785981573,0.9999999999997811
ISIC_0012606.jpg,0.8626178033128665,0.9262424119200491,0.9354197184243602,0.8643104943622982,0.9982657519543829
ISIC_0012607.jpg,0.17697709787079294,0.3007315914488954,0.2513224283853847,0.9999999999992102,0.10766507432283341
ISIC_0012611.jpg,0.026878525077320203,0.05234996043041478,0.18386840820310163,0.10481506006994086,0.20552862808114655
ISIC_0012624.jpg,0.150532606806075,0.2616746468819508,0.27923075358069366,0.9999999999990045,0.1736891822549544
ISIC_0012625.jpg,0.18178973521328412,0.3076515725201751,0.33501688639318655,0.9999999999991394,0.2197362138934979
ISIC_0012634.jpg,0.8261468892359566,0.9047978496205297,0.9473978678384212,0.8351743593226008,0.995332597775726
ISIC_0012647.jpg,0.07863943407264264,0.14581227347812048,0.29514567057287916,0.9999999999978864,0.2500270592055079
ISIC_0012650.jpg,0.28816280936915556,0.44740122486578515,0.5851236979165922,0.46444244401919077,0.6534833322708877
ISIC_0012651.jpg,0.6396674364893119,0.7802404588321914,0.9008026123045729,0.6397501755420378,0.9999508737453505
ISIC_0012698.jpg,0.010174730767655878,0.020144496704889575,0.08375415558510499,0.9999999999982351,0.07504255086008574
ISIC_0012925.jpg,0.08092898077807344,0.1497396817315772,0.6801903257978611,0.41951787239827665,0.6989475541078942
ISIC_0012935.jpg,0.012541427657850162,0.024772176851786176,0.06599468085106273,0.9999999999985988,0.05478200091342775
ISIC_0012948.jpg,0.17260855050263962,0.2944009753786135,0.24157347074467686,0.999999999999895,0.09901916238114028
ISIC_0013143.jpg,0.038848631528537986,0.07479170756836248,0.10856150265957266,0.9999999999995387,0.07524160932867258
